Point1 (x,y) = (7205.29,7026.34) -> Cluster 3
Point2 (x,y) = (15537.4,25168.8) -> Cluster 3
Point3 (x,y) = (22828.8,21365.3) -> Cluster 3
Point4 (x,y) = (24497,4616.42) -> Cluster 3
Point5 (x,y) = (28800.6,21073.1) -> Cluster 5
Point6 (x,y) = (36049.8,22340.5) -> Cluster 5
Point7 (x,y) = (44214.7,22114) -> Cluster 2
Point8 (x,y) = (57381.8,12161.4) -> Cluster 2
Point9 (x,y) = (14489.9,34680.2) -> Cluster 4
Point10 (x,y) = (21982.4,33788) -> Cluster 5
Point11 (x,y) = (25546.7,32441.8) -> Cluster 5
Point12 (x,y) = (28010.4,28332.2) -> Cluster 5
Point13 (x,y) = (31668,31234) -> Cluster 5
Point14 (x,y) = (35325.6,31561.3) -> Cluster 5
Point15 (x,y) = (39010.3,32965.9) -> Cluster 2
Point16 (x,y) = (46538.5,32770.8) -> Cluster 2
Point17 (x,y) = (15642.4,38977.9) -> Cluster 4
Point18 (x,y) = (21748.6,39878) -> Cluster 4
Point19 (x,y) = (27669.2,38378.6) -> Cluster 5
Point20 (x,y) = (31878.1,37932.5) -> Cluster 1
Point21 (x,y) = (34261.8,39477.4) -> Cluster 1
Point22 (x,y) = (37838.3,37735.5) -> Cluster 1
Point23 (x,y) = (41800.6,38697.3) -> Cluster 1
Point24 (x,y) = (49314.9,37871.7) -> Cluster 2
Point25 (x,y) = (17135.7,46455) -> Cluster 4
Point26 (x,y) = (23585.3,44119.1) -> Cluster 4
Point27 (x,y) = (25526.2,47274.6) -> Cluster 4
Point28 (x,y) = (30190.4,47481) -> Cluster 1
Point29 (x,y) = (31036.1,46460.2) -> Cluster 1
Point30 (x,y) = (33143.7,45669.8) -> Cluster 1
Point31 (x,y) = (37541.5,43224.2) -> Cluster 1
Point32 (x,y) = (47002.1,42756) -> Cluster 1
Point33 (x,y) = (5679.07,53699.1) -> Cluster 4
Point34 (x,y) = (16606.4,51845.2) -> Cluster 4
Point35 (x,y) = (21080.5,52770.8) -> Cluster 4
Point36 (x,y) = (27605.6,50730.4) -> Cluster 4
Point37 (x,y) = (31389.8,48627.2) -> Cluster 1
Point38 (x,y) = (31983.1,51902.7) -> Cluster 1
Point39 (x,y) = (34647,49621.2) -> Cluster 1
Point40 (x,y) = (37795,49497.5) -> Cluster 1
Point41 (x,y) = (10000,10000) -> Cluster 3
Point42 (x,y) = (20000,20000) -> Cluster 3
Point43 (x,y) = (30000,30000) -> Cluster 5
Point44 (x,y) = (40000,40000) -> Cluster 1
Point45 (x,y) = (50000,50000) -> Cluster 1
